195	105	142	91	122	21	12	143	229	209	92	180	178	220	117
167	113	189	17	157	37	169	73	140	188	92	29	50	236	151
96	81	56	207	76	250	85	117	0	163	173	93	240	141	249
155	207	123	216	85	158	5	219	196	225	209	198	46	159	163
153	169	232	106	114	1	72	128	104	237	210	224	1	63	132
224	66	193	236	72	51	177	178	169	199	39	175	9	124	58
142	237	74	233	204	29	96	228	9	132	227	6	245	118	84
72	112	235	170	154	246	35	244	91	76	0	46	111	209	73
198	26	91	53	169	55	197	115	235	247	222	2	153	9	148
71	64	44	157	69	57	146	218	175	120	128	254	235	192	35
75	141	125	84	237	177	239	66	62	145	247	17	115	246	150
248	186	84	82	245	198	212	101	172	152	67	247	39	76	212
65	139	30	24	38	68	106	34	185	152	127	254	146	222	173
150	192	214	170	230	179	122	141	145	219	95	232	107	54	28
171	146	131	172	227	223	211	83	176	138	219	131	177	172	29
253	216	61	141	60	238	56	165	37	60	157	181	217	179	102
48	175	200	147	6	141	171	201	182	188	104	122	41	19	37
184	59	103	222	251	213	20	206	100	145	227	71	242	195	212
213	225	150	197	9	81	97	28	105	124	104	174	249	199	105
90	242	90	128	189	57	251	213	253	25	20	250	170	44	196
140	65	78	205	10	179	34	215	61	140	218	236	83	189	80
151	30	169	73	137	245	113	207	105	143	126	174	143	58	168
70	202	100	224	117	24	249	87	89	213	218	230	115	132	146
201	228	69	237	240	72	127	169	132	83	197	103	250	10	63
233	191	128	250	71	207	44	240	89	4	35	201	145	85	37
244	74	40	246	121	145	216	168	6	215	213	35	125	67	130
161	185	83	65	1	229	11	105	174	158	14	175	157	153	40
44	186	57	8	12	224	158	183	103	126	77	247	219	165	234
73	212	93	172	166	211	12	225	250	0	168	172	188	31	82
102	254	129	191	208	128	46	2	100	82	210	122	174	189	231
220	214	76	199	131	120	157	6	244	96	123	250	135	88	82
82	21	106	240	38	215	209	187	241	151	224	148	193	156	241
156	77	134	104	234	201	69	31	140	44	0	93	240	187	168
115	76	65	242	213	205	233	228	9	15	219	125	132	247	148
77	94	196	94	196	105	54	7	56	224	231	26	241	133	228
48	185	171	167	193	151	42	149	33	178	138	233	136	234	115
